mean_fit_time|params|mean_test_accuracy|std_test_accuracy|mean_test_f1|std_test_f1|mean_test_roc_auc|std_test_roc_auc|Model
0.038738584518432616|{'C': 0.01}|0.8246892655367232|0.032294251834073355|0.7918388739143456|0.04233228537353595|0.9005621693121693|0.0295101788384423|Regresion Logistica
0.02215566635131836|{'C': 0.1}|0.824632768361582|0.03590278794549593|0.8032038800496835|0.04335170294634707|0.9079530423280424|0.02505621060288892|Regresion Logistica
0.033484697341918945|{'C': 1}|0.8347457627118644|0.037096752481249766|0.8121185080583576|0.046902618426865744|0.9128306878306878|0.021108587419477746|Regresion Logistica
0.021639299392700196|{'C': 10}|0.8313559322033898|0.04500453054037521|0.8072916299386887|0.05712107668059138|0.9097387566137565|0.017910676907607663|Regresion Logistica
0.022601556777954102|{'C': 100}|0.8246892655367232|0.03578176231472857|0.7993395819866408|0.04955543957244474|0.9071924603174603|0.018610234426917394|Regresion Logistica
0.028276777267456053|{'C': 1000}|0.8212994350282485|0.04179095701494484|0.7964484255240558|0.054912688350162456|0.9060350529100528|0.01985116045370107|Regresion Logistica
0.002401113510131836|{'criterion': 'gini', 'max_depth': 5}|0.7336723163841808|0.0711966184097272|0.6893186224863245|0.09993534534212102|0.7308325066137566|0.06975786061200628|Decision Tree
0.0018013954162597657|{'criterion': 'gini', 'max_depth': 10}|0.7303389830508473|0.06109787477185652|0.7030413990112564|0.07351724355360803|0.728125|0.06269597522358884|Decision Tree
0.001720571517944336|{'criterion': 'gini', 'max_depth': 20}|0.7471751412429379|0.05430374929881881|0.7260244706466192|0.05909093006431011|0.7459325396825397|0.054101287089941046|Decision Tree
0.0024132728576660156|{'criterion': 'entropy', 'max_depth': 5}|0.7775141242937853|0.058417259498780204|0.750522771575403|0.07287333352410622|0.7986359126984128|0.057828761673890186|Decision Tree
0.002312326431274414|{'criterion': 'entropy', 'max_depth': 10}|0.7503389830508475|0.06687089277997259|0.7378346314244434|0.06506403341918057|0.7509755291005291|0.06518547087925051|Decision Tree
0.0026257991790771484|{'criterion': 'entropy', 'max_depth': 20}|0.7604519774011299|0.06322157595110235|0.7460408483831856|0.06966526576510103|0.7607969576719577|0.06326094934440323|Decision Tree
0.0712822437286377|{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 10, 'n_jobs': -1}|0.8144632768361582|0.05104869156593555|0.7902664176781824|0.062161359769384375|0.8780340608465608|0.039087154707913|Random Forest
0.32965726852416993|{'criterion': 'gini', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 80, 'n_jobs': -1}|0.8212429378531073|0.05141658889239447|0.8011614103573834|0.05818312209791011|0.9062830687830689|0.02169004648160352|Random Forest
0.0545344352722168|{'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 10, 'n_jobs': -1}|0.7909039548022598|0.05903249221212192|0.7570159164144126|0.08091790184340593|0.8421461640211639|0.03662581070156187|Random Forest
0.35463433265686034|{'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 80, 'n_jobs': -1}|0.8145762711864407|0.037871064127703594|0.7942113062612424|0.04419010662121374|0.8870577050264551|0.023302626377544017|Random Forest
0.049808073043823245|{'criterion': 'gini', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 10, 'n_jobs': -1}|0.7707344632768363|0.04738547110770699|0.7400393902950293|0.05188036468551748|0.8372974537037038|0.04637058682955758|Random Forest
0.3797929286956787|{'criterion': 'gini', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 80, 'n_jobs': -1}|0.8245762711864406|0.05169908291063423|0.8082720572848299|0.0536175418273685|0.8914930555555556|0.025268934392521234|Random Forest
0.04461116790771484|{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 10, 'n_jobs': -1}|0.7944067796610169|0.03714163998007099|0.7683500916991801|0.05389528858256898|0.8854580026455026|0.0208676860470839|Random Forest
0.3344766139984131|{'criterion': 'entropy', 'max_depth': 5, 'max_features': 'auto', 'n_estimators': 80, 'n_jobs': -1}|0.8246892655367233|0.05619455676739875|0.8064510014532129|0.0612277942711945|0.9054728835978837|0.02458078520572017|Random Forest
0.06327881813049316|{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 10, 'n_jobs': -1}|0.797683615819209|0.05611349947780682|0.76486844125142|0.07471565293851043|0.8779265873015873|0.036389209538071746|Random Forest
0.35029778480529783|{'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'n_estimators': 80, 'n_jobs': -1}|0.8146327683615819|0.047072827919592164|0.7936278792218641|0.04920373838304296|0.892249503968254|0.025423628507691195|Random Forest
0.05428147315979004|{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 10, 'n_jobs': -1}|0.7977401129943503|0.03965280710817311|0.7652309077840993|0.04148962225559797|0.8580977182539682|0.03279807766622254|Random Forest
0.3100762367248535|{'criterion': 'entropy', 'max_depth': 20, 'max_features': 'auto', 'n_estimators': 80, 'n_jobs': -1}|0.8314689265536724|0.02908677379572911|0.8114790473628245|0.03737179561558777|0.9014591600529102|0.02842487572453226|Random Forest
